audit_id,model,condition,probe_id,probe_type,rung,scorer_decision,recall_subject,recall_action,recall_object,recall_outcome,recall_time,fragment_summary,human_decision,human_notes,agree
1,Qwen,qwen_full_cautious,crossboundary-000054,cross_boundary,shared_vector_index,INVALID,user:u_2805b9f3,Data exfiltration action recorded,file:f_0a80f5d0,Compromise-handling outcome: blocked,2026-01-23T03:43:09+00:00,[subject@b-D=user:u_2805b9f3] [action@b-B=exfiltrated] [object@b-H=file:f_0a80f5d0] [outcome@b-I=blocked] [time@b-E=2026-01-23T03:43:09+00:00],INVALID,,1
2,Qwen,qwen_full_cautious,crossboundary-000080,cross_boundary,shared_vector_index,INVALID,user:u_6cb60e35,Privilege-elevation action observed,File file:f_0a80f5d0,session_revoked,2026-01-23T03:43:09+00:00,[subject@b-B=user:u_6cb60e35] [action@b-I=elevated_privileges_on] [object@b-H=file:f_0a80f5d0] [outcome@b-D=session_revoked] [time@b-E=2026-01-23T03:43:09+00:00],INVALID,,1
3,Qwen,qwen_seed44_neutral,crossboundary-000067,cross_boundary,shared_vector_index,INVALID,user:u_3078bb2a,Egress event initiated,Endpoint affected: vendor:Lighthouse-00,Authentication result: blocked,2026-01-25T21:08:05+00:00,[subject@b-C=user:u_3078bb2a] [action@b-C=executed_on] [object@b-H=vendor:Lighthouse-00] [outcome@b-J=blocked] [time@b-H=2026-01-25T21:08:05+00:00],INVALID,,1
4,Qwen,qwen_full_pcb,crossboundary-000076,cross_boundary,shared_vector_index,INVALID,user:u_4c182313,Data exfiltration,cve:CVE-2024-10018,EDR response outcome: executed,2026-03-14T02:20:11+00:00,[subject@b-G=user:u_4c182313] [action@b-A=exfiltrated] [object@b-D=cve:CVE-2024-10018] [outcome@b-H=executed] [time@b-C=2026-03-14T02:20:11+00:00],INVALID,,1
5,Qwen,qwen_full_neutral,crossboundary-000023,cross_boundary,summary_merge,INVALID,user:u_68b3be8c,data exfiltration,host:h_22771613,EDR response executed,2026-01-18T17:12:49+00:00,[subject@b-C=user:u_68b3be8c] [action@b-A=exfiltrated] [object@b-G=host:h_22771613] [outcome@b-B=executed] [time@b-D=2026-01-28T17:57:47+00:00],INVALID,,1
6,Qwen,qwen_seed44_neutral,crossboundary-000093,cross_boundary,shared_vector_index,INVALID,proc:p_93990110,Authentication action,host:h_f931a19a,session_revoked,2026-03-21T16:48:10+00:00,[subject@b-B=proc:p_93990110] [action@b-J=authenticated] [object@b-D=host:h_f931a19a] [outcome@b-F=session_revoked] [time@b-D=2026-03-21T16:48:10+00:00],INVALID,,1
7,Qwen,qwen_full_cautious,crossboundary-000000,cross_boundary,summary_merge,INVALID,user:u_5e1c6397,authentication request,ip:198.51.100.14,detected,2026-03-10T23:02:26+00:00,[subject@b-H=user:u_5e1c6397] [action@b-E=executed_on] [object@b-J=ip:198.51.100.14] [outcome@b-J=detected] [time@b-D=2026-03-10T23:02:26+00:00],INVALID,,1
8,Qwen,qwen_full_neutral,crossboundary-000056,cross_boundary,shared_vector_index,INVALID,malware:m_181cd4af,Executable launched,host:h_1c64acf9,EDR response outcome: executed,2026-01-02T16:37:16+00:00,[subject@b-E=malware:m_181cd4af] [action@b-B=executed_on] [object@b-C=host:h_1c64acf9] [outcome@b-A=executed] [time@b-G=2026-01-02T16:37:16+00:00],INVALID,,1
9,Qwen,qwen_full_neutral,crossboundary-000016,cross_boundary,shared_vector_index,INVALID,Malware signature malware:m_aedef483,Executable launched,File cve:CVE-2024-10018,session_revoked,2026-03-24T14:05:10+00:00,[subject@b-B=malware:m_aedef483] [action@b-D=executed_on] [object@b-A=cve:CVE-2024-10018] [outcome@b-C=session_revoked] [time@b-G=2026-03-24T14:05:10+00:00],INVALID,,1
10,Qwen,qwen_full_cautious,crossboundary-000032,cross_boundary,shared_vector_index,INVALID,malware:m_8fd53ebd,Data exfiltration,host:h_5850b72a,detected,2026-03-05T02:59:36+00:00,[subject@b-B=malware:m_8fd53ebd] [action@b-F=exfiltrated] [object@b-E=host:h_5850b72a] [outcome@b-G=detected] [time@b-A=2026-03-18T10:44:25+00:00],INVALID,,1
11,Qwen,qwen_seed43_neutral,crossboundary-000059,cross_boundary,summary_merge,INVALID,user:u_d0cc5040,anomalous activity,hash:8f00a326ab4f9de1f77d61af860e7ba135b5120b08fd17fac1d13759d0dca5e1,EDR response executed,2026-01-10T12:02:13+00:00,[subject@b-D=user:u_d0cc5040] [action@b-I=authenticated] [object@b-G=hash:8f00a326ab4f9de1f77d61af860e7ba135b] [outcome@b-E=executed] [time@b-D=2026-01-10T12:02:13+00:00],INVALID,,1
